0,1,2,1,2,0,74,75,0,1,2,48,1,2,0,1,2,74,75,2
16,36,18,17,4,52,90,91,16,20,18,19,17,7,16,17,3,90,91,52
32,33,34,33,34,32,106,107,32,33,34,35,33,34,32,33,34,106,107,34
96,97,98,99,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
112,113,114,115,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
128,129,130,131,50,50,50,50,50,50,50,50,50,50,96,97,98,99,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,50,112,113,114,115,50,50
50,50,50,50,96,97,98,99,50,50,50,50,50,50,128,129,130,131,50,50
50,50,50,50,112,113,114,115,50,50,50,50,50,50,50,50,50,50,50,50
50,50,50,50,128,129,130,131,50,50,50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,96,97,98,99,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,112,113,114,115,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,128,129,130,131,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
