169,168,169,168,169,168,169,168,169,168,169,168,464,448,449,449,449,449,449,449,449,449,449,464,448,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,450
168,169,168,169,168,169,168,169,168,169,168,169,464,464,449,449,449,449,449,449,449,449,449,464,464,457,457,457,473,473,473,473,473,473,473,473,473,473,473,473,473,473,457,466
169,168,169,183,182,183,182,183,182,183,182,183,464,464,453,454,484,453,454,484,453,454,484,464,464,457,473,473,465,465,465,465,465,465,465,465,465,465,465,465,465,465,457,466
168,169,183,187,187,187,187,187,187,187,187,187,464,464,469,470,484,469,470,484,469,470,484,464,464,457,465,465,465,465,465,465,457,457,457,457,457,457,457,457,457,457,457,466
169,168,167,187,219,187,187,187,187,187,187,187,464,464,484,484,484,484,484,484,484,484,484,464,464,457,465,465,485,486,465,465,473,473,473,473,473,473,473,473,473,473,457,466
168,169,183,187,187,187,187,187,187,187,187,187,464,464,453,454,484,453,454,484,453,454,484,464,464,473,465,465,487,465,465,465,465,465,465,465,465,465,465,465,465,465,473,466
169,168,167,187,184,185,186,187,187,187,187,187,464,464,469,470,484,469,470,484,469,470,484,464,480,465,465,465,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,482
168,169,183,187,200,203,203,186,187,187,219,187,464,464,484,484,484,484,484,484,484,484,484,480,481,478,478,478,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481
169,168,167,187,216,201,201,202,187,187,187,187,464,464,453,454,484,453,454,484,453,454,484,484,478,478,478,478,478,464,464,490,491,483,490,491,483,490,491,483,490,491,483,466
168,169,183,187,187,200,203,202,187,187,187,187,464,464,469,470,484,469,470,484,469,470,484,484,478,478,478,478,478,464,464,483,483,483,483,483,483,483,483,483,483,483,483,466
169,168,167,187,187,200,201,202,187,187,187,187,464,464,484,484,484,484,484,484,484,484,484,484,478,478,478,478,478,464,464,483,483,487,487,483,483,483,487,487,483,483,483,466
168,169,183,187,187,216,217,218,187,219,187,219,464,464,449,449,449,449,449,449,449,449,449,468,464,478,478,478,478,464,464,483,483,485,486,483,483,483,485,486,483,483,483,466
169,168,167,187,187,187,187,187,187,187,187,187,464,464,449,449,449,449,449,449,449,449,449,449,468,478,478,478,478,478,483,483,483,487,487,483,483,483,487,487,483,483,483,466
168,169,183,187,187,187,187,187,229,229,187,229,464,464,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,483,483,483,485,486,483,483,483,485,486,483,483,483,466
169,168,167,187,187,187,187,187,235,235,235,235,235,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,483,483,483,487,487,483,483,483,487,487,483,483,483,466
168,169,183,187,187,187,187,187,187,235,219,235,235,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,464,464,483,483,485,486,483,483,483,485,486,483,483,483,466
169,168,167,187,187,187,187,235,187,187,235,235,235,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,464,464,483,483,487,487,483,483,483,487,487,483,483,483,466
168,169,183,187,187,187,229,187,187,187,187,229,464,464,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,464,464,483,483,485,486,483,483,483,485,486,483,483,483,466
169,168,167,187,187,187,187,187,187,187,187,187,464,464,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,464,464,483,483,487,487,483,483,483,487,487,483,483,483,466
168,169,183,187,219,187,187,184,185,186,187,187,464,464,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,464,464,483,483,485,486,483,483,483,485,486,483,483,483,466
169,168,167,187,187,187,187,200,201,202,187,187,464,464,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,464,464,483,483,487,487,483,483,483,487,487,483,483,483,466
168,169,183,187,187,187,187,200,203,202,187,187,464,464,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,464,464,483,483,485,486,483,483,483,485,486,483,483,483,466
169,168,167,187,187,187,187,200,201,202,187,187,464,464,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,464,464,483,483,487,487,483,483,483,487,487,483,483,483,466
